CloudletID,Status,VM,Host,Start Time,Finish Time,Exec Time,Energy Consumption
46,SUCCESS,10,0,0.01,0.73,0.72,0.89
46,SUCCESS,10,0,0.01,0.73,0.72,0.89
5,SUCCESS,11,1,0.01,0.76,0.75,0.94
5,SUCCESS,11,1,0.01,0.76,0.75,0.94
26,SUCCESS,12,2,0.01,0.78,0.77,0.96
26,SUCCESS,12,2,0.01,0.78,0.77,0.96
43,SUCCESS,13,3,0.01,0.81,0.80,1.00
43,SUCCESS,13,3,0.01,0.81,0.80,1.00
31,SUCCESS,14,4,0.01,0.81,0.80,1.00
31,SUCCESS,14,4,0.01,0.81,0.80,1.00
25,SUCCESS,15,5,0.01,0.83,0.82,1.03
25,SUCCESS,15,5,0.01,0.83,0.82,1.03
22,SUCCESS,16,6,0.01,0.86,0.85,1.06
22,SUCCESS,16,6,0.01,0.86,0.85,1.06
45,SUCCESS,17,7,0.01,0.86,0.85,1.06
45,SUCCESS,17,7,0.01,0.86,0.85,1.06
3,SUCCESS,18,8,0.01,0.90,0.89,1.12
3,SUCCESS,18,8,0.01,0.90,0.89,1.12
0,SUCCESS,0,0,0.01,0.93,0.92,1.15
0,SUCCESS,0,0,0.01,0.93,0.92,1.15
16,SUCCESS,19,9,0.01,0.99,0.98,1.22
16,SUCCESS,19,9,0.01,0.99,0.98,1.22
8,SUCCESS,1,1,0.01,1.01,1.00,1.26
8,SUCCESS,1,1,0.01,1.01,1.00,1.26
11,SUCCESS,2,2,0.01,1.05,1.04,1.30
11,SUCCESS,2,2,0.01,1.05,1.04,1.30
36,SUCCESS,20,0,0.01,1.08,1.07,1.34
36,SUCCESS,20,0,0.01,1.08,1.07,1.34
33,SUCCESS,21,1,0.01,1.08,1.07,1.34
33,SUCCESS,21,1,0.01,1.08,1.07,1.34
18,SUCCESS,3,3,0.01,1.10,1.09,1.36
18,SUCCESS,3,3,0.01,1.10,1.09,1.36
49,SUCCESS,22,2,0.01,1.13,1.12,1.40
49,SUCCESS,22,2,0.01,1.13,1.12,1.40
47,SUCCESS,23,3,0.01,1.13,1.12,1.40
47,SUCCESS,23,3,0.01,1.13,1.12,1.40
10,SUCCESS,4,4,0.01,1.13,1.12,1.40
10,SUCCESS,4,4,0.01,1.13,1.12,1.40
30,SUCCESS,5,5,0.01,1.15,1.14,1.42
30,SUCCESS,5,5,0.01,1.15,1.14,1.42
24,SUCCESS,24,4,0.01,1.17,1.16,1.45
24,SUCCESS,24,4,0.01,1.17,1.16,1.45
21,SUCCESS,25,5,0.01,1.17,1.16,1.45
21,SUCCESS,25,5,0.01,1.17,1.16,1.45
19,SUCCESS,6,6,0.01,1.19,1.18,1.47
19,SUCCESS,6,6,0.01,1.19,1.18,1.47
7,SUCCESS,26,6,0.01,1.25,1.24,1.55
7,SUCCESS,26,6,0.01,1.25,1.24,1.55
48,SUCCESS,7,7,0.01,1.25,1.24,1.55
48,SUCCESS,7,7,0.01,1.25,1.24,1.55
37,SUCCESS,27,7,0.01,1.25,1.24,1.55
37,SUCCESS,27,7,0.01,1.25,1.24,1.55
35,SUCCESS,28,8,0.01,1.31,1.30,1.62
35,SUCCESS,28,8,0.01,1.31,1.30,1.62
4,SUCCESS,29,9,0.01,1.33,1.32,1.65
4,SUCCESS,29,9,0.01,1.33,1.32,1.65
13,SUCCESS,8,8,0.01,1.42,1.41,1.77
13,SUCCESS,8,8,0.01,1.42,1.41,1.77
44,SUCCESS,9,9,0.01,1.44,1.43,1.79
44,SUCCESS,9,9,0.01,1.44,1.43,1.79
12,SUCCESS,30,0,0.01,1.58,1.57,1.97
12,SUCCESS,30,0,0.01,1.58,1.57,1.97
6,SUCCESS,31,1,0.01,1.62,1.61,2.01
6,SUCCESS,31,1,0.01,1.62,1.61,2.01
34,SUCCESS,32,2,0.01,1.68,1.67,2.09
34,SUCCESS,32,2,0.01,1.68,1.67,2.09
40,SUCCESS,33,3,0.01,1.74,1.73,2.17
40,SUCCESS,33,3,0.01,1.74,1.73,2.17
38,SUCCESS,34,4,0.01,1.77,1.76,2.20
38,SUCCESS,34,4,0.01,1.77,1.76,2.20
1,SUCCESS,35,5,0.01,1.80,1.79,2.24
1,SUCCESS,35,5,0.01,1.80,1.79,2.24
2,SUCCESS,36,6,0.01,1.80,1.79,2.24
2,SUCCESS,36,6,0.01,1.80,1.79,2.24
27,SUCCESS,37,7,0.01,1.95,1.94,2.43
27,SUCCESS,37,7,0.01,1.95,1.94,2.43
29,SUCCESS,38,8,0.01,2.03,2.02,2.52
29,SUCCESS,38,8,0.01,2.03,2.02,2.52
42,SUCCESS,0,0,0.01,2.69,2.68,3.36
42,SUCCESS,0,0,0.01,2.69,2.68,3.36
23,SUCCESS,1,1,0.01,2.69,2.68,3.36
23,SUCCESS,1,1,0.01,2.69,2.68,3.36
39,SUCCESS,2,2,0.01,2.69,2.68,3.36
39,SUCCESS,2,2,0.01,2.69,2.68,3.36
